prompt_id,prompt,gold_agents,template_id
136,Can you compute correlations between power output and temperature for today? and draft a short report.,StatisticalAnalysisAgent,22
137,Can you identify the trend of error rate over the past 48 days?,TrendAnalysisAgent,5
138,asap: Please summarize log patterns for frontend over the last 24 hours.,LogRetrievalAgent|SummaryAgent,20
139,Can you get rows where customer_id equals 1023?,SQLQueryAgent,1
140,btw: I need you to what fields are available in the system_events table?.,MetadataLookupAgent,37
141,for my notes: I need you to predict power output for next 72 hours.,ForecastAgent,7
142,for the weekly review: Help me fetch logs for frontend with error code A17. and draft a short report.,LogRetrievalAgent,38
143,I need you to compute median and std dev for latency over today.,StatisticalAnalysisAgent,40
144,FYI: Can you get throughput for the past 7 days and detect trend visually?,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
145,FYI: Help me what fields are available in the system_events table?. and set an alert if it changes.,MetadataLookupAgent,37
146,Please compute correlations between wind speed and power output for yesterday.,StatisticalAnalysisAgent,22
147,Can you forecast latency for next 24 hours and plot it? and draft a short report.,ForecastAgent|PlotGenerationAgent,11
148,btw: Can you retrieve wind speed from internal data warehouse for the last 30 days?,TimeSeriesQueryAgent,33
149,Identify the trend of temperature over the past 48 days,TrendAnalysisAgent,5
150,Can you trace anomalies and then draft a brief report for yesterday?,AnomalyDetectionAgent|ReportWriterAgent,17
151,Please trace anomalies and then draft a brief report for last week. and add a dashboard view.,AnomalyDetectionAgent|ReportWriterAgent,17
152,Plot latency for the last 30 days,PlotGenerationAgent,8
153,for my notes: Please forecast wind energy output for next 24 hours and plot it.,ForecastAgent|PlotGenerationAgent,11
154,Please plot turbine RPM for this month.,PlotGenerationAgent,8
155,Please write a detailed report about latency spikes for yesterday.,ReportWriterAgent,10
156,Help me predict error rate for next 2 weeks.,ForecastAgent,7
157,Can you plot and analyze turbine RPM for the last 30 days?,PlotGenerationAgent|StatisticalAnalysisAgent,28
158,Can you fetch wind energy output for today and describe the trend?,TimeSeriesQueryAgent|TrendAnalysisAgent,14
159,Help me identify the trend of throughput over the past 168 days.,TrendAnalysisAgent,5
160,FYI: Help me check if latency has outliers in last week.,AnomalyDetectionAgent,19
161,asap: Plot and summarize latency for the last 24 hours,PlotGenerationAgent|SummaryAgent,12
162,for the weekly review: I need you to retrieve wind speed from internal data warehouse for today.,TimeSeriesQueryAgent,33
163,Can you plot and summarize turbine RPM for the last 24 hours? and set an alert if it changes.,PlotGenerationAgent|SummaryAgent,12
164,I need you to summarize log patterns for ETL job over yesterday.,LogRetrievalAgent|SummaryAgent,20
165,Get wind energy output for today and detect trend visually,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
166,Give me a quick sanity check on the power output numbers for the last 24 hours,StatisticalAnalysisAgent|SummaryAgent,16
167,Can you what fields are available in the weather table??,MetadataLookupAgent,37
168,Get rows where customer_id equals A17,SQLQueryAgent,1
169,I need you to filter the weather table where wind speed > TX-8821.,SQLQueryAgent,35
170,Help me get temperature for last week and detect trend visually.,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
171,Can you check if error rate has outliers in yesterday?,AnomalyDetectionAgent,19
172,Help me list columns and schema for the sensor_streams dataset.,MetadataLookupAgent,36
173,Identify the trend of latency over the past 168 days,TrendAnalysisAgent,5
174,not urgent: Detect unusual spikes or drops in wind speed for the last 3 days,AnomalyDetectionAgent,6
175,Help me fetch logs for scheduler with error code TX-8821.,LogRetrievalAgent,38
176,I need you to fetch latency for today and describe the trend.,TimeSeriesQueryAgent|TrendAnalysisAgent,14
177,for my notes: I need you to list columns and schema for the transactions dataset.,MetadataLookupAgent,36
178,Help me give me a quick sanity check on the turbine RPM numbers for the past 7 days.,StatisticalAnalysisAgent|SummaryAgent,16
179,I need you to forecast latency for tomorrow and summarize risks.,ForecastAgent|SummaryAgent,18
180,not urgent: Can you extract API data for wind speed during yesterday?,APIDataFetchAgent|TimeSeriesQueryAgent,26
181,I need you to filter the ops_metrics table where latency > A17. and write a brief summary.,SQLQueryAgent,35
182,btw: Can you summarize what happened in wind speed during the last 3 days?,SummaryAgent,9
183,Please check if power output has outliers in last week.,AnomalyDetectionAgent,19
184,Please retrieve logs and summarize errors for API Gateway.,LogRetrievalAgent|SummaryAgent,13
185,Help me fetch external turbine RPM from weather/api and return raw payloads.,APIDataFetchAgent,32
186,Please paginate the metrics/v1 API to collect throughput records.,APIDataFetchAgent,30
187,btw: Use the sensors/stream REST API with auth to get error rate for this month and set an alert if it changes.,APIDataFetchAgent,31
188,for my notes: I need you to extract API data for latency during yesterday. and set an alert if it changes.,APIDataFetchAgent|TimeSeriesQueryAgent,26
189,Help me get rows where customer_id equals A17. and set an alert if it changes.,SQLQueryAgent,1
190,Help me forecast wind energy output for next week and plot it. and add a dashboard view.,ForecastAgent|PlotGenerationAgent,11
191,I need you to write a concise report of error rate behavior in this month. and set an alert if it changes.,ReportWriterAgent|SummaryAgent,27
192,Please list columns and schema for the energy dataset.,MetadataLookupAgent,36
193,I need you to forecast error rate for next week and plot it. and set an alert if it changes.,ForecastAgent|PlotGenerationAgent,11
194,Trace anomalies and then draft a brief report for this month,AnomalyDetectionAgent|ReportWriterAgent,17
195,asap: Trace anomalies and then draft a brief report for the last 3 days,AnomalyDetectionAgent|ReportWriterAgent,17
196,FYI: Please get wind speed for yesterday and detect trend visually.,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
197,I need you to fetch turbine RPM for the last 3 days and describe the trend.,TimeSeriesQueryAgent|TrendAnalysisAgent,14
198,Help me summarize what happened in wind speed during this week. and write a brief summary.,SummaryAgent,9
199,I need you to list columns and schema for the sensor_streams dataset.,MetadataLookupAgent,36
200,btw: Please forecast temperature for tomorrow and plot it.,ForecastAgent|PlotGenerationAgent,11
201,btw: Please what columns exist in the transactions dataset?.,MetadataLookupAgent,3
202,Help me compute median and std dev for turbine RPM over the last 30 days.,StatisticalAnalysisAgent,40
203,for my notes: I need you to write a detailed report about forecast accuracy for the past 7 days.,ReportWriterAgent,10
204,Can you compute correlations between throughput and error rate for the last 3 days?,StatisticalAnalysisAgent,22
205,I need you to forecast latency for next week and plot it.,ForecastAgent|PlotGenerationAgent,11
206,Get rows where customer_id equals E500,SQLQueryAgent,1
207,for my notes: I need you to summarize log patterns for ETL job over the last 30 days.,LogRetrievalAgent|SummaryAgent,20
208,for the weekly review: I need you to filter the system_events table where wind speed > TX-8821.,SQLQueryAgent,35
209,I need you to filter the weather table where temperature > TX-8821.,SQLQueryAgent,35
210,Please detect unusual spikes or drops in turbine RPM for the last 24 hours.,AnomalyDetectionAgent,6
211,for the weekly review: I need you to call the alerts/v2 endpoint to fetch power output as JSON.,APIDataFetchAgent,29
212,Can you generate a report with charts for turbine RPM in the last 24 hours? and draft a short report.,ReportWriterAgent|PlotGenerationAgent,21
213,btw: Help me forecast throughput for next 72 hours and explain the trend drivers.,ForecastAgent|TrendAnalysisAgent,24
214,for my notes: Help me plot temperature and identify its trend for this month.,PlotGenerationAgent|TrendAnalysisAgent,23
215,I need you to plot turbine RPM and identify its trend for the last 30 days. and draft a short report.,PlotGenerationAgent|TrendAnalysisAgent,23
216,asap: Help me retrieve logs and summarize errors for scheduler. and include a quick chart.,LogRetrievalAgent|SummaryAgent,13
217,Fetch wind speed data for the last 12 hours and set an alert if it changes.,TimeSeriesQueryAgent|APIDataFetchAgent,0
218,Help me write a concise report of error rate behavior in yesterday.,ReportWriterAgent|SummaryAgent,27
219,Please calculate summary stats for error rate in last week.,StatisticalAnalysisAgent,41
220,not urgent: Can you retrieve logs and summarize errors for ETL job?,LogRetrievalAgent|SummaryAgent,13
221,Can you plot power output for yesterday?,PlotGenerationAgent,8
222,asap: Please extract API data for wind speed during the last 30 days. and set an alert if it changes.,APIDataFetchAgent|TimeSeriesQueryAgent,26
223,Please use the metrics/v1 REST API with auth to get error rate for this month.,APIDataFetchAgent,31
224,FYI: Please what columns exist in the transactions dataset?. and set an alert if it changes.,MetadataLookupAgent,3
225,Help me fetch logs for API Gateway with error code 1023.,LogRetrievalAgent,38
226,Pull recent logs related to system reliability,LogRetrievalAgent,2
227,Can you what columns exist in the system_events dataset??,MetadataLookupAgent,3
228,for the weekly review: Help me pull recent logs related to capacity planning. and set an alert if it changes.,LogRetrievalAgent,2
229,btw: I need you to plot and analyze power output for the last 24 hours. and write a brief summary.,PlotGenerationAgent|StatisticalAnalysisAgent,28
230,not urgent: I need you to get rows where customer_id equals E500.,SQLQueryAgent,1
231,Please fetch wind speed data for the last 24 hours.,TimeSeriesQueryAgent|APIDataFetchAgent,0
232,I need you to compute correlations between throughput and power output for today. and set an alert if it changes.,StatisticalAnalysisAgent,22
233,Please what fields are available in the ops_metrics table?. and include a quick chart.,MetadataLookupAgent,37
234,Call the weather/api endpoint to fetch error rate as JSON,APIDataFetchAgent,29
235,for my notes: I need you to forecast temperature for tomorrow and summarize risks.,ForecastAgent|SummaryAgent,18
236,Please summarize and report anomalies in wind speed for last week.,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
237,Please retrieve latency from internal data warehouse for yesterday.,TimeSeriesQueryAgent,33
238,FYI: Please summarize and report anomalies in wind energy output for this week.,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
239,asap: Help me run a SQL query to find error rate rows with value A17.,SQLQueryAgent,34
240,for the weekly review: Paginate the alerts/v2 API to collect temperature records,APIDataFetchAgent,30
241,Plot latency and identify its trend for yesterday and add a dashboard view.,PlotGenerationAgent|TrendAnalysisAgent,23
242,FYI: Please filter the transactions table where power output > A17.,SQLQueryAgent,35
243,Please show WARN and ERROR logs for API Gateway in this month. and write a brief summary.,LogRetrievalAgent,39
244,Please predict throughput for next 72 hours. and draft a short report.,ForecastAgent,7
245,I need you to summarize and report anomalies in power output for the last 3 days.,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
246,Please call the sensors/stream endpoint to fetch throughput as JSON.,APIDataFetchAgent,29
247,Help me write a concise report of wind energy output behavior in yesterday.,ReportWriterAgent|SummaryAgent,27
248,Trace anomalies and then draft a brief report for this month,AnomalyDetectionAgent|ReportWriterAgent,17
249,Please run a SQL query to find wind energy output rows with value TX-8821. and draft a short report.,SQLQueryAgent,34
250,Plot and summarize latency for today,PlotGenerationAgent|SummaryAgent,12
251,Can you give me a quick sanity check on the power output numbers for the last 24 hours?,StatisticalAnalysisAgent|SummaryAgent,16
252,Calculate summary stats for error rate in this month and set an alert if it changes.,StatisticalAnalysisAgent,41
253,Forecast wind speed for next 2 weeks and plot it,ForecastAgent|PlotGenerationAgent,11
254,Help me forecast wind speed for tomorrow evening and explain the trend drivers.,ForecastAgent|TrendAnalysisAgent,24
255,Can you write a concise report of throughput behavior in the last 24 hours?,ReportWriterAgent|SummaryAgent,27
256,asap: Can you get temperature for the last 24 hours and detect trend visually?,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
257,Please compute mean and variance for the past 12 days of turbine RPM. and set an alert if it changes.,StatisticalAnalysisAgent,4
258,Extract API data for turbine RPM during this week and include a quick chart.,APIDataFetchAgent|TimeSeriesQueryAgent,26
259,Can you generate a report with charts for turbine RPM in the past 7 days?,ReportWriterAgent|PlotGenerationAgent,21
260,Can you check if error rate has outliers in last week?,AnomalyDetectionAgent,19
261,Summarize and report anomalies in error rate for yesterday,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
262,Call the alerts/v2 endpoint to fetch throughput as JSON and set an alert if it changes.,APIDataFetchAgent,29
263,for my notes: Can you list columns and schema for the weather dataset? and add a dashboard view.,MetadataLookupAgent,36
264,Pull recent logs related to forecast accuracy and set an alert if it changes.,LogRetrievalAgent,2
265,I need you to get rows where customer_id equals A17.,SQLQueryAgent,1
266,not urgent: Help me compute median and std dev for latency over yesterday. and include a quick chart.,StatisticalAnalysisAgent,40
267,Predict throughput for next 24 hours,ForecastAgent,7
268,asap: Can you fetch wind speed data for the last 12 hours?,TimeSeriesQueryAgent|APIDataFetchAgent,0
269,Help me forecast throughput for next 2 weeks and summarize risks.,ForecastAgent|SummaryAgent,18
270,for the weekly review: I need you to summarize what happened in temperature during this month. and draft a short report.,SummaryAgent,9
271,Help me compute median and std dev for wind speed over the last 24 hours. and set an alert if it changes.,StatisticalAnalysisAgent,40
272,Summarize log patterns for scheduler over today,LogRetrievalAgent|SummaryAgent,20
273,not urgent: I need you to forecast wind energy output for next 24 hours and summarize risks.,ForecastAgent|SummaryAgent,18
274,Help me use the energy/telemetry REST API with auth to get power output for this month.,APIDataFetchAgent,31
275,Can you what columns exist in the ops_metrics dataset??,MetadataLookupAgent,3
276,Fetch external temperature from sensors/stream and return raw payloads,APIDataFetchAgent,32
277,I need you to what fields are available in the sensor_streams table?.,MetadataLookupAgent,37
278,Please plot and summarize latency for the last 3 days.,PlotGenerationAgent|SummaryAgent,12
279,btw: Can you compute correlations between turbine RPM and pressure for this week?,StatisticalAnalysisAgent,22
280,Please call the weather/api endpoint to fetch wind energy output as JSON.,APIDataFetchAgent,29
281,FYI: Compute mean and variance for the past 6 days of power output,StatisticalAnalysisAgent,4
282,Please filter the transactions table where wind speed > TX-8821. and draft a short report.,SQLQueryAgent,35
283,I need you to trace anomalies and then draft a brief report for this week.,AnomalyDetectionAgent|ReportWriterAgent,17
284,asap: Please forecast latency for tomorrow and explain the trend drivers.,ForecastAgent|TrendAnalysisAgent,24
285,for the weekly review: I need you to retrieve logs and summarize errors for API Gateway.,LogRetrievalAgent|SummaryAgent,13
286,Summarize log patterns for ETL job over yesterday,LogRetrievalAgent|SummaryAgent,20
287,Can you get rows where customer_id equals E500?,SQLQueryAgent,1
288,Please fetch temperature for the last 30 days and describe the trend.,TimeSeriesQueryAgent|TrendAnalysisAgent,14
289,Fetch external wind speed from metrics/v1 and return raw payloads and include a quick chart.,APIDataFetchAgent,32
290,Get rows where customer_id equals E500,SQLQueryAgent,1
291,Can you detect unusual spikes or drops in wind energy output for today? and draft a short report.,AnomalyDetectionAgent,6
292,Calculate summary stats for error rate in last week,StatisticalAnalysisAgent,41
293,Plot and analyze turbine RPM for the past 7 days,PlotGenerationAgent|StatisticalAnalysisAgent,28
294,not urgent: I need you to use the alerts/v2 REST API with auth to get latency for this month. and draft a short report.,APIDataFetchAgent,31
295,I need you to summarize log patterns for frontend over the last 3 days.,LogRetrievalAgent|SummaryAgent,20
296,for the weekly review: Can you fetch wind speed for yesterday and describe the trend?,TimeSeriesQueryAgent|TrendAnalysisAgent,14
297,Help me fetch external throughput from metrics/v1 and return raw payloads.,APIDataFetchAgent,32
298,Please get rows where customer_id equals TX-8821.,SQLQueryAgent,1
299,I need you to list columns and schema for the transactions dataset.,MetadataLookupAgent,36
300,Help me summarize and report anomalies in wind energy output for the past 7 days. and include a quick chart.,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
301,Can you write a concise report of error rate behavior in the last 30 days?,ReportWriterAgent|SummaryAgent,27
302,Forecast error rate for tomorrow evening and plot it,ForecastAgent|PlotGenerationAgent,11
303,asap: Can you plot and summarize temperature for the past 7 days?,PlotGenerationAgent|SummaryAgent,12
304,Help me predict wind speed for tomorrow evening.,ForecastAgent,7
305,I need you to show WARN and ERROR logs for Lambda in yesterday. and set an alert if it changes.,LogRetrievalAgent,39
306,Help me give me a quick sanity check on the throughput numbers for the past 7 days.,StatisticalAnalysisAgent|SummaryAgent,16
307,FYI: I need you to what fields are available in the sensor_streams table?.,MetadataLookupAgent,37
308,Can you show WARN and ERROR logs for Lambda in the last 24 hours?,LogRetrievalAgent,39
309,Please what columns exist in the ops_metrics dataset?.,MetadataLookupAgent,3
310,Help me summarize what happened in temperature during the last 3 days.,SummaryAgent,9
